seeds: 862276159 59873817 391478845 36137774 641675771 86153966 696096725 21709689 670927817 81808951 493687808 66597212 883574476 64706342 632887479 46725929 767446164 36216520 241650700 97678887 722666148 61543458 147118730 85266915 309888610 87914308 691943189 96084141 935509174 56025925 196835156 43204494 622742136 27206026 936397542 46326727 272496057 37674565 752818519 96752694 440297520 49442079 114641442 84841354 344981649 61915776 375937613 36015014 692223471 60891331 288698467 94215697 434486800 61710234 350595579 42228515 471529365 68191319 855259149 23720158 302085645 12008066 327576907 82123527 688011178 89878091 320791040 62201815 773455302 72212818 908084030 25441103 198197406 94937985 683451073 96968073 808340872 75168221 894007198 43494312 778241036 52874956 249241893 36373328 224667795 53702296 226650564 88223109 293593300 22542468 224928492 14102983 726591346 19326521 504128211 79707412 164887716 48467276 425928134 39098866 285506666 79460117 711784491 11987214 125667760 87462458 949243278 18824032 533247669 28350761 706665018 39107833 887631372 33628560 196746554 56194307 256901323 12814290 311302128 98526846 821607133 81774060 632164747 72154207 769282782 44397247 784363913 69432460 212102261 24220516 529175165 49687079 711981049 73544941 947813679 12028497 204188642 35214024 313070374 80113264 545286800 11574355 234649847 96749234 498442306 35534094 252738125 84261311 939681167 57286323 486518983 12745789 331638180 11056616 508608441 12645545 898519517 87181138 558933029 65287374 578795919 47623876 128430142 68793450 138946858 50657261 167047142 97253016 606889557 64154951 177743043 61059583 345391671 74892984 727505811 69308431 898299916 92788786 603263562 95422493 169166227 86609835 261015790 61465847 383252324 18592885 596043048 39522282 317610218 45084768 628331041 31871652 741612832 43693595 605734229 68227643 882856680 39371294 755523136 50411531 917892404 33240468 173339363 98208212 114025182 78665341 193607763 98721825 519288394 24191990 439089466 47162241 646013667 47090998 515654635 12090260 255425897 84042476 299954921 30622006 542196418 49109015 897353144 65574825 216505235 32748581 110438463 59489600 646922963 58319860 200950018 76783411 652462975 70725720 175610934 86084773 814899254 92926131 824857083 96339299 818917465 28128173 658434883 39319188 891997137 67004615 189314643 98327849 774539044 50255671 231407777 95250333 851343272 87039867 550778046 15394157

seed-to-soil map:
561966594 681581348 933093
394531172 356725082 869679
980359736 961608351 560609
681142683 655004912 627413
550724121 774632899 726145
112177234 449676086 669694
359506402 745040275 678884
435984716 803479281 874014
654628010 476802048 505507
531297521 864847635 958316
350969673 876903017 540268
271770982 130539290 755427
941156723 134951198 819387
847321565 103430879 816248
348936527 564641132 597769
543875529 891705028 568380
636344894 496833490 836098
291887693 387755595 777287
286392512 960424247 729996
433940972 761961141 629979
545588208 327491171 951737
627188173 916416636 910087
955838609 696991869 996968
465152497 672250086 902899
475881627 515202652 592628
523027295 127594731 718838
931771031 507402362 815982
840532589 535890375 639630
490415458 810399095 792268
649534014 873004432 818029
448670427 435439801 514996
586951197 800458577 513531
550513265 139858348 937347
970023651 184392243 776358
941837256 510208547 722947
660211333 350880623 643330
217062717 614496827 882890
508191464 982103483 586564
160239543 743268280 984509
381629304 588164879 816019
405220440 790377454 847505
535400977 658941129 905861
466854136 838332079 578971
983171125 608006009 705627
164132671 485377885 839487
867997290 870641879 907808
792492332 509499220 654571
386774553 216071114 809121
351233096 763905695 643088
539312124 165106042 983322
136578333 337757495 838106
214375112 556546661 866184
276312479 963355706 735880
373061359 657635303 955881
394329953 105836745 788195
803468525 734184587 715524
395586028 575851812 717276
993375256 854728511 600284
725306996 569683319 640495
454300925 593211849 764794
893466737 719341279 618830
142491423 367166701 772276
212944084 124625430 615050
326791691 472858928 907103
112116358 965366669 838417
732636414 424398482 623122
710674618 746281222 534633
565009789 714890445 936000
194038984 303118188 585056
966692126 570937517 627277
129829525 722801916 738241
965695190 375844896 744510
424676633 550177599 683546
659284055 297116787 525544
581441174 993645017 955837
472457411 813727332 603691
209687232 690338298 510909
530977138 340357544 867915
988906196 524857581 936999
832164929 270406100 544273
652622864 225925141 842283
897768489 991106827 693361
759685889 769036104 675554
687319001 933947448 849025
762163451 362020894 941567
383991018 162264514 663623
731489614 247690936 632189
979062750 483325573 872213
200459385 384802702 943655
731349420 222614556 969651
949246802 116451475 519276
109599951 572240930 974803
816866964 554768825 717950
664977838 370552122 946833
686178369 921266556 548753
121528912 884690331 564621
649028939 544732776 738304
323449638 958849353 500158
792932847 720480360 826631
669393961 156293612 595302
943038485 542021870 862750
560447532 328496005 637298
538194168 343122699 780850
420902155 320737102 742049
841456108 651448857 504881
781426275 439790696 844611
142351668 956475375 531214
817594694 442712172 520176
460359859 275045909 660732
311744197 206584084 761112
725783668 811205447 674045
713127284 249137121 856005
163118875 422006839 926587
278268119 315402645 621681
676410335 289351599 954696
383299286 100733495 874171
419673967 855514066 942489
315207928 260836714 796873
588453951 829522046 748756
916512394 725940871 777832
991990062 344821017 874416
303517682 322378142 871411
797872995 359234433 835324
276365123 669741708 598887
826656612 559743037 939075
701437783 284037530 922000
754064098 252583437 858533
501056921 866424622 886363
964235793 256218932 973753
631433926 404244633 607410
294050054 942853484 506421
483501876 484261226 526358
114786349 518621950 511176
126840114 619696964 552394
181797188 279548524 919623
230273529 624729814 701656
795554856 243323895 641375
423561794 330145381 718369
300553078 463466163 620084
288881602 665080674 574431
157398806 941151122 632931
358415842 213639108 870772
788392772 201442591 551952
745159450 445448216 549309
348045091 311583943 575634
844796193 405212532 986674
135764446 732690053 523595
912335740 418175029 580828
816300826 937051902 817385
589079218 590923818 841182
446265584 277607136 664177
878091530 641732498 826787
329311187 116989688 978988
645120989 597564341 775518
124844002 622771087 765151
741809355 305617140 593423
492834965 586779248 508376
975741215 227139254 549371
903776010 568018026 607272
530525763 501947042 631526
649821368 323938723 563161
901113046 769914632 814323
746063717 825591088 783529
923345389 410036290 703157
679965002 619009185 542486
105336062 615655920 507206
586843391 785343107 521881
391118625 795733171 670754
711696658 676802747 519212
297478506 415413318 626056
767090647 153906000 690921
352530263 698520771 699053
377965444 631416031 516914
176267462 967517801 623268
139111248 158775788 515786
321942708 677539339 780650
385547893 976846501 538155
914723651 869770572 718421
386534026 973947628 747475
735788766 987034607 909560
747134407 396201200 848735
505346545 654255649 726426
872066067 715866664 529804
479912638 705657248 581291
637343707 662836312 610466
967187140 791815028 881884
724346047 419439675 564657
459346383 520547111 909984
622750111 955366592 889710
602268635 573591293 861737
772830943 899341238 510125
618009195 696293938 536691
904468102 713099638 591834
924268496 760463574 790858
819842491 221309204 960904
247928692 832415023 871351
955726830 836295721 896746
952564222 546871641 937219
543111799 326311976 698773
639213117 133138745 960651
286511529 767600765 638726
441913036 264531559 917419
394206162 589732289 621293
745776548 901687804 910328
394754904 186544337 984918
451686161 429748671 757492
691275186 922348264 511569
995012163 126045992 927917
730922904 630004788 651432
481049561 196751855 929779
142547158 512086411 908972
637873981 699300784 507048
486086490 601514147 520357
530968411 859085683 943917
134698820 558938172 691164
708533833 898359134 873329
309959985 120006732 585036
657736146 178034982 862359
409547037 914908213 828326
781108073 141646385 574525
753081050 592466828 664153
770388471 425931679 502007
848078399 749035817 566738
583544429 295018121 773913
642390453 877714660 579047
370449477 377631838 970755
806392633 685410816 791922
621038699 108749758 732137
575299719 143569155 747366
227680190 503791654 704200
309332531 239847165 575419
475197295 114942233 829243
911859990 246950534 512749
495403724 480991175 560005
328093693 886384805 620779
599175223 747156406 562601
711374307 406899796 603175
311417308 691502484 981915
718542107 894474042 605350
976168510 635176190 608257
742839956 271925039 774359
675399763 626270281 604562
624306523 650072520 822962
251558969 500271912 546035
811925550 267869704 526038
709553360 545775197 604201
920665101 391224473 734492
197646145 753051601 698665
684677686 932667568 745870
493864407 451738416 738444
962001742 437895591 856245
565322969 678417431 529753
629911775 365606773 803486
109086993 203775281 835193
116760910 282966253 689870
440881078 506280086 673161
388271542 199457581 715869
899511652 600067839 562474
981352814 764859260 973292
161420428 185524566 753909
734633232 843312056 503334
475626997 111253355 902407
110745522 847908161 973145
447603732 718304616 862185
345789499 144459541 568596
801297629 823434144 630221
397989453 831346233 785562
323577386 840452050 650590
248933711 332963628 874307
647593945 996762646 783969
554180068 132046913 840057
506291198 151574747 552295
522215355 319304816 774793
293137435 300818372 672718
832557704 627307553 567956
801782858 408277583 514211
925268695 200389504 575785
254991765 736264889 668034
785041833 549143019 997903
121171448 486691079 906888
682987848 609451044 708315
616732415 777197710 995367
214564071 558110652 589862
308299068 907017105 519746
410247627 150827824 504027
866753749 263070869 708041
164694696 818049737 684600
131561960 191369959 507615
203585002 494918687 637948
268075643 710354411 734189
408117406 538117659 840438
304331238 160204876 612028
522391841 814702580 828633
230055744 195659387 872786
705126018 612670602 687696
542902515 766713865 691694
118142417 266553152 517304
166460753 452985988 996475
906877319 360139888 706666
405459657 251712830 542875
389870259 688809341 945581
579159555 104552558 639716
794124666 157997451 664432
279346519 972744034 931307
960558403 970107835 911539
989203572 707020994 661924
171624059 466091721 505635
890499087 702795331 760831
924959018 755488783 785782
566912572 861875221 685806
532535021 634364107 594580
310354876 280897627 677265
515498232 296467161 529253
684349922 684090512 576844
376588355 110308641 657412
580991624 786564585 594474
214971493 299770056 607461
784660860 759421825 856529
194090011 258229473 990327
736279904 853324289 505554
963102390 310472745 555771
360885782 398790653 583798
419389109 369637846 725808
393001180 516959354 769227
915387026 711455748 785794
133611578 307023887 685842
443312633 456366118 978251
685650391 772529399 565270
572884563 514505817 679859
142778240 637729865 898578
660022466 897129288 813890
555875797 301969009 556496
448030463 393294624 954190
964631438 163429694 815283
546525581 523709018 514899
652308198 448307162 768107
103453216 757523692 866147
364131241 461944896 853245
244914040 741791879 941148
773302734 176037337 837089
799822092 984301384 993168
870210689 952161794 973627
310421158 949689948 841138
235870265 383371799 836328
801930879 980664879 586609
372673027 533899320 934979
809878864 617428999 989699
504354550 411997981 595000
452848735 308749572 859859
557219815 145067206 747699
534422242 871898678 805375
441862494 342553390 541729
764116646 756593370 622164
860655917 775667855 562913
545506091 447737672 545534
710966742 845380398 930505
159363484 985899431 591833
660039210 475231140 671823
973747110 577521818 702469
208240629 489892659 641755
651006767 735189899 698075
271121476 390120992 614678
849529157 644401641 527082
194253539 526889013 551588
987518044 946491013 519987
132052513 329240729 791962
934773209 700696828 514842
324321021 411083014 653039
532127600 565604733 520637
634125877 563232104 766123
461478135 553351446 918498
514339603 207554095 803948
303420186 928495649 955138
354293319 862724246 574118
739414672 781591895 874349
207183826 250298413 794766
338971039 343975765 586140
539494791 909768588 951070
592821418 480259051 591780
330250929 482754708 509137
671313060 400496716 567228
184528247 951252529 697099
498546252 995665654 558614
339117733 938026252 720774
940935339 797546202 697529
270203793 121562900 551933
132713633 120655875 891761
859630036 561736807 855376
841803898 312598411 716042
108994877 721506284 999614
400517862 798538628 656618
118170248 539065207 671321
786254506 604192810 725438
538546903 639444573 859642
734570582 999026366 516881
522439376 983002120 602287
518203686 904288573 723717
838328725 822577523 613857
889096576 887786377 984919
550729362 371914928 566670
877967312 212808863 546069
823982018 796629651 587847
722161318 183109874 938909
132082351 543063898 509726
175930991 808156742 674004
943431991 335128188 830807
768169845 426750988 814160
914948602 673570736 585682
559845271 834089013 612840
384923592 182537644 506344
134125668 211480892 517950
790296183 469709245 657063
843080481 193303686 972792
315645278 430544859 818399
288330374 753854917 565604
838943672 851002887 901662
906114381 339159730 600867
995247155 852118680 762483
186145516 868277465 942316
115824672 458544976 703660
310972331 653142954 557403
329888662 241518945 833723
175026812 118925750 515772
347211588 663762548 663779
464768068 833354028 626562
231509371 647687388 989132
952726292 806077833 914246
197246959 917339323 797664
696936160 994670382 640430
763505485 412837125 675360
528984662 843929456 508777
416480917 717368003 626134
770571125 589166062 558516
747788393 481847132 745945
854763445 809007265 507840
344844145 694305258 599701
310212568 920355679 768945
703129507 243980037 811450
178060615 580362722 759820
559390307 254873002 773871
284155436 925253508 676652
434210876 703735017 927439
492438555 382355178 962661
698078013 739383795 624343
215639369 331658642 820931
972814356 513225231 772398
562005001 728381978 873498
580234324 508665948 662964
805789414 582932371 738289
159976469 324764236 556108
424392209 966496261 930595
449757838 579255835 657825
210785359 912031135 556486
734125215 136936168 680414
674226732 461146239 791019
637101357 731696442 985909
418791675 237242241 737661
489963536 839428849 769647
715200599 179411534 651249
616280018 488720180 619498
789300473 581672282 889360
203466310 498797352 548704
933124746 881532389 679769
982668161 290561608 767540
842414563 292879047 912243
568693551 341554946 627391
451926650 953508956 884603
217142944 220222964 917897
949446117 491093681 933726
493979233 606078504 733744
361851720 930791938 988835
533390418 478092158 580234
204333693 809680234 551327
876616652 479265212 867265
937972913 988376245 620310
500253364 363803443 502185
968808663 346216453 591496
366574509 157272597 638589
107217018 317146353 891665
754194393 957126211 726691
972880125 379186025 963352
553698112 661983812 531236
977217053 517770347 692565
431259034 602788614 874008
832663908 454102794 856685
252156632 441173878 515752
498963181 273680841 841360
838254048 680610089 577629
378109566 957865336 533448
677536688 875180818 873670
998386751 828480556 829870
132056927 429065272 536001
471162701 610935500 543046
410690716 578419830 688667
445997236 224995749 624501
674793055 190178501 781886
991447998 228856275 934030
568426172 846799369 950340
219493543 368534891 716130
722400942 533269236 551483
487582030 826483333 946802

fertilizer-to-water map:
851267073 927210477 115650
369127731 568186569 654327
324344473 366124878 228237
212333511 461339434 186846
232700124 310580940 824252
268266828 263748903 368363
440441304 919556892 495627
207617419 639857684 391492
390226493 977777179 916569
816987042 363199891 986762
708356638 982213671 197970
904829707 777812432 405860
197190660 952653984 751243
850866845 191793303 320792
373991740 578349092 528605
607835123 276888588 859148
676118303 290587768 362274
299982816 589010973 349834
528473693 733574653 287454
222348067 464020073 247950
944612057 445956546 381768
680554487 418901713 285762
478139641 213870171 117996
355105340 610016023 122342
645075029 156817487 386679
908675884 566920908 565115
391126651 785247697 739834
593919974 267949447 576350
814413745 730610779 296924
783674356 739713701 957198
837235039 404664906 378851
470992161 710965246 613312
835875826 439903285 102402
870503071 558773510 767564
646463347 736279068 876779
141745679 470923122 912125
623322314 150114975 308887
567801142 514603781 603532
268780383 654636074 220877
943173194 948703815 881837
594955522 187263156 143926
952103524 753593979 932019
295951956 514073505 240803
844609940 964410394 765906
883101985 186346231 608372
447075729 758417744 299109
867745690 718870087 755248
939251959 828426469 779089
742223345 377923179 193802
422087336 824684818 269717
418868945 755157834 653751
989401247 584719841 361265
243718091 178632781 834207
968686863 252065331 821012
473045178 883774124 637054
342471587 880483436 344094
847772611 984255143 224119
111071745 917265451 500045
367591818 436110377 621576
661934405 830426200 396074
826901955 587297773 255369
177371882 572130346 338920
876017901 508126809 197908
341859515 319315036 255006
368319596 526462982 269347
226477197 199599353 878982
154187306 200517650 891475
892146670 286135958 793489
110164078 111848275 618059
864100082 726181016 810749
914932011 942814729 420780
357912182 941275613 129943
627061790 629459888 676876
439048603 525040109 374871
923568460 803589248 391040
193279527 690951629 405841
670056473 951383390 777313
663690237 833769861 661017
305240609 450297927 820943
784205612 210084584 693145
827515793 356059691 725819
230930561 887227347 640925
116749437 900620110 190159
170731138 523030102 458106
239579611 216586968 163582
173957331 790462825 894576
411430859 868014370 857831
990713043 548236450 660499
856619518 221611003 861485
232213524 406640622 946672
645735153 260721932 191548
532079855 769670498 895302
510445410 980862378 368904
379137857 144564325 704826
552147748 914080725 725395
425587842 764209072 949726
563817426 162785541 890037
745337796 619133613 226950
779274630 242025353 707840
591405343 619602914 112777
282309609 854389174 325557
257082287 795004489 796363
169808605 576861762 466135
366901080 601775691 701158
287374563 758806359 581885
139341925 626832633 494136
531317820 897616523 226565
736497812 979181957 386559
691287987 416341088 376786
176129646 721653691 910707
975565526 998743540 337817
362914293 128583878 128422
996397595 344960101 895488
173183082 649555409 322155
576264667 928962110 619903
541830700 955779058 489933
193190636 761325683 774470
553041381 778992028 225119
733231560 945517277 693864
950970507 498083814 463505
486953685 908364614 814178
742579985 192976732 901350
731285844 860545852 989230
207517971 189853433 846580
917637804 864680004 259092
178076225 744757604 140673
980255268 289705190 599815
853674582 691830144 254995
533018738 466483189 225975
196980545 930350077 281188
413496392 622774251 330801
572556565 235057558 181928
474855848 890493403 921455
716973679 676743030 354030
288180681 320799360 520324
431843651 839419206 961379
828079721 355033513 675324
743638590 246639516 682398
972774707 159290792 275705
405100404 682861923 130313
299329477 727066855 514160
800390625 307436610 274006
527894766 273833675 494621
505339264 297921163 301138
766164192 563662804 320290
416383055 380377680 707670
143145157 596494105 564514
193303458 170086774 641085
439452069 643757621 177622
321613895 685227326 876964
211596512 491190631 354011
531433573 970636458 121179
390236991 858122627 714236
847007186 780286734 224104
975763726 970333282 191779
856786745 683188106 717115
146212009 720746269 126842
703238571 299666409 521340
590989346 540691168 844848
241268959 537158755 160109
892702690 448708193 159371
836060929 304616564 470698
373337214 862768503 720938
137311452 988989756 578200
747880785 895958149 555424
684359532 386361471 772683
863450162 372033770 237717
795022487 384843236 236334
298706280 343087199 350930
865567529 117542478 877443
326289969 325758838 408948
458530165 411679909 206271
601567917 168740857 406895
760457472 915955786 921824
832240919 202308770 521680
269171340 470003317 904778
768260181 367029355 653552
828100200 928024043 760452
699085094 885697517 346657
308359660 545852564 868419
363050143 144043496 101146
274960909 779754091 285833
554328048 313146482 870168
303922772 865533203 681971
592551037 791707451 728480
511343530 653258253 525134
232834961 387241580 727419
250194142 136696742 686359
792715229 442900637 371930
837786795 872021798 553892
118431602 698410217 578413
398434596 442327717 300487
241899992 774663057 154233
705445073 746994424 944718
177105250 121966132 261376
342076112 501112503 950759
635209096 272968826 189269
553513304 795806211 174836
733332719 613225511 253152
814378638 735733680 486631
360986597 196696664 373029
309289466 291169179 646724
605211615 689721484 156288
604831103 592175593 549748
134325667 760898803 225874
686395990 702117016 947799
900144418 146636930 478201
145360216 847662559 625630
155788810 133783400 864762
858149144 693939819 929644
185391796 339785206 428357
317145060 661486711 260052
859890457 732039241 303914
724359517 692291777 195451
362374657 180054141 538248
243456938 351847726 903093
255726002 780820060 345625
641780648 456991288 717363
401191339 217360435 883793
352861449 911471696 282237
197624761 585564597 681589
657108156 613729388 620867
288813081 100232225 547286
180248800 899768032 802347
605090357 946712255 907951
509971562 294934953 719631
938622623 841770943 732451
937081810 971547213 239637
719904240 972314520 743184
184787469 806312289 713240
325405899 275643054 922637
810764291 909708294 881302
604450182 953630879 648566
508069466 262608633 484388
495409693 905875869 899127
702038068 500012207 545732
836953404 810234347 680230
688165097 461914924 623515
436432162 825297674 499858
337482914 204155976 660920
813732296 561515331 105739
509508831 658146928 717446
704888769 767885654 657088
944651763 664761098 975386
892649675 210948587 256730
357276079 949983679 872215
750247043 835618807 118585
571970996 342437447 485849
108195040 903076617 406235
651581303 485551849 619093
925582961 333552781 753976
264946639 487989374 653261
605288575 800347289 446342
452831194 775507085 831207
803734094 632732274 244119
433520627 381513923 745530
720088800 479264355 487576
397798176 219961558 596628
713596321 938921943 941242
554739646 554358734 520314
819877295 160496831 946770
351003279 396275276 986895
331878709 597694202 273483
492621765 349391195 823332
330037595 913571270 497875
874017486 898415093 949027
631044202 921774673 315939
386623413 752051252 810695
894592440 330020955 682881
944055656 119576086 894618
935234681 466726496 585871
897388775 245396621 279111
479428895 932513994 379808
712133071 528713285 627430
925391666 692881447 144514
734200035 401456942 233717
646964167 811100110 665977
805779919 883430932 148373
158553848 494554838 961710
693475363 148664094 962810
903803880 421534145 335793
615605797 838277607 197470
934696154 667567035 394488
670276780 686202415 657433
634755073 679892907 986752
859134999 756227216 427951
692897415 112687040 783152
972504705 591557350 276963
681013479 478701577 138439
156629017 531631570 283741
